venue_abbr,venue_name,venue_old
Abruzzo Club,Abruzzo Club,Abruzzo Club
Aces Sporting Club,Aces Sporting Club,Aces Town and Country Club
Albion Charles Hotel,Albion Charles Hotel,Albion Charles Hotel
Albion Hotel,Albion Hotel,Albion Hotel
Albion Hotel,Albion Hotel,Punters Palace
Alexandra House Sports Club,Alexandra House Sports Club,Hamilton Football-Netball Club
All Seasons International Hotel,All Seasons International Hotel Bendigo,Fortunes Tabaret
Alma Sports Club,Alma Sports Club,Alma Club Inc
Altona Bowling Club,Altona Bowling Club,Altona Bowls Club
Altona RSL,Altona RSL,Altona RSL
Altona Sports Club,Altona Sports Club,Altona Workers Sports
American Hotel,American Hotel,American Hotel
Amstel Golf Club,Amstel Golf Club,Amstel Golf Club Inc
Angel Tavern,Angel Tavern,Angel Tavern
Anglers Tavern,Anglers Tavern,Anglers Tavern
Anglesea Golf Club,Anglesea Golf Club,Anglesea Golf Club
Ararat RSL,Ararat RSL,Ararat RSL New Site
Ashley Hotel,Ashley Hotel,Ashley Hotel
Aspendale Edithvale RSL,Aspendale Edithvale RSL,Aspendale Edithvale RSL
Austral Hotel,Austral Hotel,Austral Hotel
Australian Croatian National Hall,Australian Croatian National Hall,Australian Croation National Hall Assn
Bacchus Marsh Golf Club,Bacchus Marsh Golf Club,Bacchus Marsh Golf Club
Bairnsdale Bowls Club,Bairnsdale Bowls Club,Bairnsdale Bowls Club
Bairnsdale Club,Bairnsdale Club,Bairnsdale Club
Bairnsdale RSL,Bairnsdale RSL,Bairnsdale RSL
Bakers Arms Hotel,Bakers Arms Hotel,Bakers Arms Hotel
Balaclava Hotel,Balaclava Hotel,Balaclava Hotel
Ballarat and District Trotting Club,Ballarat & District Trotting Club,Ballarat and District Trotting Club Inc
Ballarat Golf Club,Ballarat Golf Club,Ballarat Golf Club
Ballarat Leagues Club,Ballarat Leagues Club,Ballarat Leagues Club
Ball Court Hotel,Ball Court Hotel,Ballcourt Hotel
Barwon Heads Hotel,Barwon Heads Hotel,Barwon Heads Hotel
