Venue Name,Venue Type,Address,City / Town,Postcode,LGA,Region,Lat,Long
ESSENDON FOOTBALL & COMMUNITY SPORTING CLUB,Club,CNR NAPIER STREET & BREWSTER STREET,ESSENDON,3040,City of Moonee Valley,Moonee Valley (Capped Region),-37.752,144.9196014
CELTIC CLUB,Club,316 - 320 QUEEN STREET,MELBOURNE,3000,City of Melbourne,"Melbourne CBD, Docklands & Southbank Precincts",-37.8111,144.9593048
MATTHEW FLINDERS TAVERNER,Hotel,655 - 667 WARRIGAL ROAD,CHADSTONE,3148,City of Monash,Monash (Capped Region),-37.8768,145.0924072
SKYWAYS TAVERNER,Hotel,113 MATHEWS AVENUE,AIRPORT WEST,3042,City of Moonee Valley,Moonee Valley (Capped Region),-37.7123,144.8880005
RYE RSL CLUB,Club,5-11 NELSON STREET,RYE,3941,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.3718,144.8231049
"THE RICHMOND HENTY HOTEL, PORTLAND",Hotel,101 BENTINCK STREET,PORTLAND   TORIA,3305,Shire of Glenelg,Glenelg Shire,-38.3476,141.6056061
ROYAL OAK HOTEL,Hotel,1375 NEPEAN HIGHWAY,CHELTENHAM,3192,City of Kingston,Kingston City,-37.9726,145.0641937
DORSET GARDENS HOTEL,Hotel,335 DORSET ROAD,CROYDON,3136,City of Maroondah,Maroondah (Capped Region),-37.803,145.2906952
GRAND HOTEL (FRANKSTON),Hotel,499 NEPEAN HIGHWAY,FRANKSTON,3199,City of Frankston,Frankston (Capped Region),-38.1452,145.1206055
GRAND HOTEL (MORNINGTON),Hotel,124 MAIN ROAD,MORNINGTON,3931,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.2198,145.039093
STAMFORD HOTEL,Hotel,CNR STUD & WELLINGTON ROAD,ROWVILLE,3178,City of Knox,Knox City,-37.9267,145.2319946
RED LION HOTEL,Hotel,217-221 MAIN ROAD,BALLARAT,3350,City of Ballarat,Ballarat (Capped Region),-37.5689,143.8701019
BURVALE HOTEL,Hotel,CNR SPRINGVALE ROAD & BURWOOD HIGHWAY,NUNAWADING,3131,City of Whitehorse,Whitehorse City,-37.8533,145.1705017
GEORGE HOTEL,Hotel,27 LYDIARD STREET NORTH,BALLARAT,3350,City of Ballarat,Ballarat (Capped Region),-37.5608,143.8574066
WALTZING MATILDA HOTEL,Hotel,856 - 868 HEATHERTON ROAD,SPRINGVALE,3171,City of Greater Dandenong,Greater Dandenong (Capped Region),-37.9627,145.1492004
WARRAGUL CLUB,Club,55 VICTORIA STREET,WARRAGUL,3820,Shire of Baw Baw,Baw Baw Shire,-38.1608,145.9290924
MOE HOTEL,Hotel,45 LLOYD STREET,MOE,3825,City of La Trobe,Latrobe (Capped Region),-38.1775,146.2619019
YORK ON LILYDALE TAVERNER RESORT,Hotel,CNR YORK & SWANSEA ROADS,MT EVELYN,3796,Shire of Yarra Ranges,Yarra Ranges Shire,-37.7953,145.3616943
MILDURA GATEWAY TAVERN,Hotel,CNR 15TH STREET & SANMATEO AVENUE,MILDURA,3500,Rural City of Mildura,Mildura Rural City,-34.2114,142.1412964
SANDOWN PARK HOTEL,Hotel,CNR PRINCES HIGHWAY & CORRIGAN ROAD,NOBLE PARK,3174,City of Greater Dandenong,Greater Dandenong (Capped Region),-37.9491,145.1723938
ALTONA SPORTS CLUB,Club,11 ALTONA ROAD,SEAHOLME,3018,City of Hobsons Bay,Hobsons Bay (Capped Region),-37.8641,144.8493042
MILDURA WORKING MANS SPORTS & SOCIAL CLUB,Club,90-124 DEAKIN AVENUE,MILDURA,3500,Rural City of Mildura,Mildura Rural City,-34.1871,142.1611023
YARRAVILLE CLUB,Club,135 STEPHEN STREET,YARRAVILLE,3013,City of Maribyrnong,Maribyrnong (Capped Region),-37.8176,144.8943939
BLEAKHOUSE HOTEL,Hotel,97 BEACONSFIELD PARADE,ALBERT PARK,3206,City of Port Phillip,Port Phillip City,-37.8475,144.9488068
MILDURA RSL,Club,130 MADDEN AVENUE,MILDURA,3500,Rural City of Mildura,Mildura Rural City,-34.1896,142.1600037
RED CLIFFS CLUB,Club,11 HEYTESBURY AVENUE,RED CLIFFS,3496,Rural City of Mildura,Mildura Rural City,-34.3046,142.1876984
KNOX CLUB,Club,CNR STUD & BORONIA ROADS,WANTIRNA,3152,City of Knox,Knox City,-37.8535,145.2429962
PINSENT HOTEL,Hotel,20 REID STREET,WANGARATTA,3677,Rural City of Wangaratta,Wangaratta Rural City,-36.3558,146.3278046
ST KILDA FOOTBALL SOCIAL CLUB,Club,32 - 64 LINTON STREET,MOORABBIN,3189,City of Kingston,Kingston City,-37.9373,145.0431061
GRAND ON DEAKIN,Hotel,13 DEAKIN AVENUE,MILDURA,3500,Rural City of Mildura,Mildura Rural City,-34.1876,142.1688995
LORD OF THE ISLES TAVERN,Hotel,3 WEST FYANS STREET,NEWTOWN,3220,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.1603,144.3495026
MANHATTAN HOTEL,Hotel,CNR CANTERBURY & HEATHERDALE ROADS,RINGWOOD,3134,City of Maroondah,Maroondah (Capped Region),-37.8309,145.2140961
BRAYBROOK HOTEL,Hotel,353 BALLARAT ROAD,BRAYBROOK,3019,City of Maribyrnong,Maribyrnong (Capped Region),-37.7797,144.8484039
BARWON HEADS HOTEL,Hotel,1 BRIDGE ROAD,BARWON HEADS,3227,City of Greater Geelong,Greater Geelong and Queenscliffe (Capped Region),-38.2827,144.4929962
MORWELL RSL,Club,52 ELGIN STREET,MORWELL,3840,City of La Trobe,Latrobe (Capped Region),-38.24,146.3963928
MIDLANDS GOLF CLUB,Club,330 HEINZ LANE,BALLARAT,3350,City of Ballarat,Ballarat (Capped Region),-37.5266,143.8558044
BERWICK INN TAVERNER,Hotel,1 HIGH STREET,BERWICK,3806,City of Casey,Casey (Capped Region),-38.0305,145.3450928
ECHUCA WORKERS AND SERVICES CLUB,Club,165 -171 ANNESLEY STREET,ECHUCA,3564,Shire of Campaspe,Campaspe Shire,-36.1273,144.7514038
VENETO CLUB,Club,191 BULLEEN ROAD,BULLEEN,3105,City of Manningham,Manningham City,-37.7724,145.0778961
LOWER PLENTY HOTEL,Hotel,2-8 MAIN ROAD,LOWER PLENTY,3093,City of Banyule,Banyule City (Municipal Limit),-37.7303,145.1087952
YARRA VALLEY COUNTRY CLUB,Club,9 - 15 TEMPLESTOWE ROAD,BULLEEN,3105,City of Manningham,Manningham City,-37.7572,145.0847015
OLD ENGLAND HOTEL,Hotel,459 LOWER HEIDELBERG ROAD,HEIDELBERG,3084,City of Banyule,Banyule (Capped Region),-37.7581,145.0686951
SIR HENRY BARKLY HOTEL,Hotel,92 BURGUNDY STREET,HEIDELBERG,3084,City of Banyule,Banyule (Capped Region),-37.7558,145.0675049
DRUMS HOTEL,Hotel,613 SYDNEY ROAD,COBURG,3058,City of Moreland,Moreland (Capped Region),-37.7375,144.9662933
CRAMERS HOTEL,Hotel,1 CRAMER STREET,PRESTON,3072,City of Darebin,Darebin (Capped Region),-37.7408,145.002594
ST ALBANS HOTEL,Hotel,5 MCKECHNIE STREET,ST ALBANS,3021,City of Brimbank,Brimbank (Capped Region),-37.7464,144.800293
PIER HOTEL,Hotel,508 NEPEAN HIGHWAY,FRANKSTON,3199,City of Frankston,Frankston (Capped Region),-38.1449,145.1199036
MOE RSL CLUB,Club,63 ALBERT STREET,MOE,3825,City of La Trobe,Latrobe (Capped Region),-38.1751,146.2626038
WAVERLEY RSL CLUB,Club,CNR COLEMAN PDE & GLENDALE STREET,GLEN WAVERLEY,3150,City of Monash,Monash City (Municipal Limit),-37.8801,145.1625061
MOONEE VALLEY RACING CLUB,Club,CORNER WILSON & THOMAS STREET,MOONEE PONDS,3039,City of Moonee Valley,Moonee Valley (Capped Region),-37.763242,144.930425
MORWELL HOTEL,Hotel,CORNER VINCENT STREET & PRINCES HIGHWAY,MORWELL,3840,City of La Trobe,Latrobe (Capped Region),-38.2387,146.4100952
EXCELSIOR HOTEL,Hotel,82 MAHONEY'S ROAD,THOMASTOWN,3074,City of Whittlesea,Whittlesea (Capped Region),-37.6926,145.0005951
NORTH BALLARAT SPORTS CLUB,Club,"BALLARAT SHOWGROUNDS RESERVE, CRESWICK ROAD",BALLARAT,3350,City of Ballarat,Ballarat (Capped Region),-37.5416,143.8491058
SWAN HILL RSL,Club,138 CURLEWIS STREET,SWAN HILL,3585,Rural City of Swan Hill,Swan Hill Rural City,-35.3412,143.561203
ROYAL EXCHANGE HOTEL,Hotel,64 PRINCES HIGHWAY,TRARALGON,3844,City of La Trobe,Latrobe (Capped Region),-38.1983,146.5355988
ROSEBUD RSL,Club,117 EASTBOURNE ROAD,ROSEBUD,3939,Mornington Peninsula Shire,Mornington Peninsula Shire,-38.368,144.9044952
